onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
1608.0	24.0	33.5	46	10	A	1.0	2	2	2.0	1.0	1/4	True	0	17.0	17.0	17.0	17a	2	67	False	True				False	51	V65	e	v		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	v	v, minor	V		v	v	True	V65	V65, minor		V65, minor		V	4	5	5	6	5	5	True	False	True
1608.0	24.0	33.5	54	6	F	1.0	2	2	2.0	1.0	1/4	True	0	17.0	17.0	17.0	17a	3	67	False	True				False	51	V65	e	v		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	v	v, minor	V		v	v	True	V65	V65, minor		V65, minor		V	4	5	5	2	1	1	True	True	False
1608.0	18.0	33.5	66	6	F	1.0	2	2	1.0	1.0	3/16	False	0	17.0	17.0	17.0	17a	4	67	False	True				False	51	V65	e	v		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	v	v, minor	V		v	v	True	V65	V65, minor		V65, minor		V	4	5	5	2	1	1	True	True	False
1626.0	3.0	33.875	76	4	E	0.0	2	2	1.0	1.0	1/32	True	0	17.0	17.0	17.0	17a	5	271/4	False	False				False	51	V65	e	v		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	v	v, minor	V		v	v	True	V65	V65, minor		V65, minor		V	4	5	5	0	-1	-1	True	False	False
1629.0	3.0	33.938	73	7	C	1.0	2	2	1.0	1.0	1/32	True	0	17.0	17.0	17.0	17a	5	543/8	False	False				False	51	V65	e	v		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	v	v, minor	V		v	v	True	V65	V65, minor		V65, minor		V	4	5	5	3	2	2	True	False	False
1632.0	24.0	34.0	47	5	B	0.0	2	2	2.0	1.0	1/4	True	0	18.0	18.0	18.0	18a	2	68	False	True				False	52	i(^2)	e	v		i(^2)	i			^2		m	True	True	(0, 2, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i(^2), minor		i	4	5	5	1	0	0	True	True	True
1632.0	24.0	34.0	54	6	F	1.0	2	2	2.0	1.0	1/4	True	0	18.0	18.0	18.0	18a	3	68	False	True				False	52	i(^2)	e	v		i(^2)	i			^2		m	True	True	(0, 2, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i(^2), minor		i	4	5	5	2	1	1	True	False	False
1632.0	24.0	34.0	73	7	C	1.0	2	2	1.0	1.0	1/4	True	0	18.0	18.0	18.0	18a	5	68	False	True				False	52	i(^2)	e	v		i(^2)	i			^2		m	True	True	(0, 2, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i(^2), minor		i	4	5	5	3	2	2	True	False	False
1656.0	24.0	34.5	47	5	B	0.0	2	2	2.0	1.0	1/4	True	0	18.0	18.0	18.0	18a	2	69	False	True				False	53	i	e	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	4	5	5	1	0	0	True	True	True
1656.0	24.0	34.5	54	6	F	1.0	2	2	2.0	1.0	1/4	True	0	18.0	18.0	18.0	18a	3	69	False	True				False	53	i	e	v		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	v	v, minor	i		v	v	True	i	i, minor		i, minor		i	4	5	5	2	1	1	True	False	False
