onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
90540	60	55	1	G	0	2	4	1	1	True	2.25	-4	130	126	189	126a	1509/4	1/16	False	3	True				False	298		V2	Ab	I		V2	V		2			Mm7	False	False	(-1, 1, 5, 2)	()	1	-1	major	major	I	I, major	V		I	I	False	V2	V2, major		V2, major		V	-4	-4	-4	5	5	5	True	False	False
90600	60	48	0	C	0	2	4	2	1	True	2.5	-4	130	126	189	126a	755/2	1/16	False	3	True				False	299		vi64	Ab	I		vi64	vi		64			m	False	False	(4, 3, 0)	()	3	4	major	major	I	I, major	vi		I	I	False	vi64	vi64, major		vi64, major		vi	-4	-4	-4	4	4	4	True	False	True
90600	60	53	-1	F	0	2	4	1	1	True	2.5	-4	130	126	189	126a	755/2	1/16	False	3	True				False	299		vi64	Ab	I		vi64	vi		64			m	False	False	(4, 3, 0)	()	3	4	major	major	I	I, major	vi		I	I	False	vi64	vi64, major		vi64, major		vi	-4	-4	-4	3	3	3	True	True	False
90600	60	56	-4	A	-1	2	4	1	1	True	2.5	-4	130	126	189	126a	755/2	1/16	False	3	True				False	299		vi64	Ab	I		vi64	vi		64			m	False	False	(4, 3, 0)	()	3	4	major	major	I	I, major	vi		I	I	False	vi64	vi64, major		vi64, major		vi	-4	-4	-4	0	0	0	True	False	False
90660	60	46	-2	B	-1	2	4	2	1	True	2.75	-4	130	126	189	126a	1511/4	1/16	False	2	True				False	300		viio6	Ab	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-4	-4	-4	2	2	2	True	False	True
90660	60	55	1	G	0	2	4	1	1	True	2.75	-4	130	126	189	126a	1511/4	1/16	False	3	True				False	300		viio6	Ab	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-4	-4	-4	5	5	5	True	True	False
90660	60	58	-2	B	-1	2	4	1	1	True	2.75	-4	130	126	189	126a	1511/4	1/16	False	3	True				False	300		viio6	Ab	I		viio6	vii	o	6			o	False	False	(2, -1, 5)	()	5	2	major	major	I	I, major	vii		I	I	False	viio6	viio6, major		viio6, major		vii	-4	-4	-4	2	2	2	True	False	True
90720	60	44	-4	A	-1	2	4	2	1	True	1.0	-4	131	127	190	127a	378	1/16	False	2	True				False	301		I	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	0	0	0	True	True	True
90720	60	56	-4	A	-1	2	4	1	2	True	1.0	-4	131	127	190	127a	378	1/16	False	3	True				False	301		I	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	0	0	0	True	True	True
90720	180	60	0	C	0	2	4	1	1	True	1.0	-4	131	127	190	127a	378	3/16	False	4	True				False	301		I	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	4	4	4	True	False	False
