onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
345.0	1.0	57.5	52	4	E	0.0	6	4	2.0	1.0	1/8	True	1	20.0	32.0	18.0	18a	3	345/2	False	False				False	106	i|PAC}	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	3	0	0	True	True	True
346.0	2.0	57.667	50	2	D	0.0	6	4	2.0	1.0	1/4	True	1	20.0	32.0	18.0	18a	3	173	False	False				False	106	i|PAC}	G	vi		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i, minor		i	1	4	4	1	-2	-2	False	False	False
348.0	4.0	58.0	48	0	C	0.0	6	4	2.0	1.0	1/2	True	1	20.0	32.0	18.0	18a	3	174	False	True			{	False	107	VI{	G	vi		VI	VI					M	False	True	(-4, 0, -3)	()	-4	-4	major	minor	vi	vi, major	VI		vi	vi	True	VI	VI, minor		VI, minor		VI	1	4	4	-1	-4	-4	True	True	True
351.0	1.0	58.5	76	4	E	0.0	6	4	1.0	1.0	1/8	True	1	20.0	32.0	18.0	18a	5	351/2	False	False				False	107	VI{	G	vi		VI	VI					M	False	True	(-4, 0, -3)	()	-4	-4	major	minor	vi	vi, major	VI		vi	vi	True	VI	VI, minor		VI, minor		VI	1	4	4	3	0	0	True	False	False
352.0	2.0	58.667	48	0	C	0.0	6	4	2.0	1.0	1/4	True	1	20.0	32.0	18.0	18a	3	176	False	True				False	108	V2/III	G	vi		V2/III	V		2		III	Mm7	False	True	(-4, -2, 2, -1)	()	-2	-4	major	minor	vi	vi, major	V/III	III	III/vi	I	False	V2/III	V2/III, minor		V2/III, minor	III	III	1	4	1	-1	-4	-1	True	False	True
352.0	2.0	58.667	78	6	F	1.0	6	4	1.0	1.0	1/4	True	1	20.0	32.0	18.0	18a	5	176	False	True				False	108	V2/III	G	vi		V2/III	V		2		III	Mm7	False	True	(-4, -2, 2, -1)	()	-2	-4	major	minor	vi	vi, major	V/III	III	III/vi	I	False	V2/III	V2/III, minor		V2/III, minor	III	III	1	4	1	5	2	5	True	False	False
354.0	0.0	59.0	78	6	F	1.0	6	4	1.0	1.0	0	True	1	21.0	33.0	19.0	19a	5	177	False	True				False	109	ii.V43	G	ii		V43	V		43			Mm7	False	True	(2, -1, 1, 5)	()	1	2	major	minor	ii	ii, major	V		ii	ii	True	V43	V43, minor		V43, minor		V	1	3	3	5	3	3	False	False	False
354.0	4.0	59.0	47	5	B	0.0	6	4	2.0	1.0	1/2	True	1	21.0	33.0	19.0	19a	2	177	False	True				False	109	ii.V43	G	ii		V43	V		43			Mm7	False	True	(2, -1, 1, 5)	()	1	2	major	minor	ii	ii, major	V		ii	ii	True	V43	V43, minor		V43, minor		V	1	3	3	4	2	2	True	False	True
354.0	3.0	59.0	80	8	G	1.0	6	4	1.0	1.0	3/8	True	1	21.0	33.0	19.0	19a	5	177	False	True				False	109	ii.V43	G	ii		V43	V		43			Mm7	False	True	(2, -1, 1, 5)	()	1	2	major	minor	ii	ii, major	V		ii	ii	True	V43	V43, minor		V43, minor		V	1	3	3	7	5	5	True	False	False
357.0	1.0	59.5	81	3	A	0.0	6	4	1.0	1.0	1/8	True	1	21.0	33.0	19.0	19a	5	357/2	False	False				False	109	ii.V43	G	ii		V43	V		43			Mm7	False	True	(2, -1, 1, 5)	()	1	2	major	minor	ii	ii, major	V		ii	ii	True	V43	V43, minor		V43, minor		V	1	3	3	2	0	0	False	False	False
358.0	2.0	59.667	47	5	B	0.0	6	4	2.0	1.0	1/4	True	1	21.0	33.0	19.0	19a	2	179	False	False				False	109	ii.V43	G	ii		V43	V		43			Mm7	False	True	(2, -1, 1, 5)	()	1	2	major	minor	ii	ii, major	V		ii	ii	True	V43	V43, minor		V43, minor		V	1	3	3	4	2	2	True	False	True
358.0	2.0	59.667	80	8	G	1.0	6	4	1.0	1.0	1/4	True	1	21.0	33.0	19.0	19a	5	179	False	False				False	109	ii.V43	G	ii		V43	V		43			Mm7	False	True	(2, -1, 1, 5)	()	1	2	major	minor	ii	ii, major	V		ii	ii	True	V43	V43, minor		V43, minor		V	1	3	3	7	5	5	True	False	False
360.0	2.0	60.0	47	5	B	0.0	6	4	2.0	1.0	1/4	True	1	21.0	33.0	19.0	19a	2	180	False	False				False	109	ii.V43	G	ii		V43	V		43			Mm7	False	True	(2, -1, 1, 5)	()	1	2	major	minor	ii	ii, major	V		ii	ii	True	V43	V43, minor		V43, minor		V	1	3	3	4	2	2	True	False	True
360.0	2.0	60.0	80	8	G	1.0	6	4	1.0	1.0	1/4	True	1	21.0	33.0	19.0	19a	5	180	False	False				False	109	ii.V43	G	ii		V43	V		43			Mm7	False	True	(2, -1, 1, 5)	()	1	2	major	minor	ii	ii, major	V		ii	ii	True	V43	V43, minor		V43, minor		V	1	3	3	7	5	5	True	False	False
362.0	4.0	60.333	45	3	A	0.0	6	4	2.0	1.0	1/2	True	1	21.0	33.0	19.0	19a	2	181	False	True				False	110	i	G	ii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	ii	ii, major	i		ii	ii	True	i	i, minor		i, minor		i	1	3	3	2	0	0	True	True	True
362.0	4.0	60.333	81	3	A	0.0	6	4	1.0	1.0	1/2	True	1	21.0	33.0	19.0	19a	5	181	False	True				False	110	i	G	ii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	ii	ii, major	i		ii	ii	True	i	i, minor		i, minor		i	1	3	3	2	0	0	True	True	True
366.0	4.0	61.0	52	4	E	0.0	6	4	2.0	1.0	1/2	True	1	22.0	34.0	20.0	20a	3	183	False	True				False	111	V	G	ii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	ii	ii, major	V		ii	ii	True	V	V, minor		V, minor		V	1	3	3	3	1	1	True	True	True
366.0	3.0	61.0	80	8	G	1.0	6	4	1.0	1.0	3/8	True	1	22.0	34.0	20.0	20a	5	183	False	True				False	111	V	G	ii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	ii	ii, major	V		ii	ii	True	V	V, minor		V, minor		V	1	3	3	7	5	5	True	False	False
369.0	1.0	61.5	81	3	A	0.0	6	4	1.0	1.0	1/8	True	1	22.0	34.0	20.0	20a	5	369/2	False	False				False	111	V	G	ii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	ii	ii, major	V		ii	ii	True	V	V, minor		V, minor		V	1	3	3	2	0	0	False	False	False
370.0	2.0	61.667	52	4	E	0.0	6	4	2.0	1.0	1/4	True	1	22.0	34.0	20.0	20a	3	185	False	False				False	111	V	G	ii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	ii	ii, major	V		ii	ii	True	V	V, minor		V, minor		V	1	3	3	3	1	1	True	True	True
370.0	2.0	61.667	80	8	G	1.0	6	4	1.0	1.0	1/4	True	1	22.0	34.0	20.0	20a	5	185	False	False				False	111	V	G	ii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	ii	ii, major	V		ii	ii	True	V	V, minor		V, minor		V	1	3	3	7	5	5	True	False	False
372.0	2.0	62.0	52	4	E	0.0	6	4	2.0	1.0	1/4	True	1	22.0	34.0	20.0	20a	3	186	False	False				False	111	V	G	ii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	ii	ii, major	V		ii	ii	True	V	V, minor		V, minor		V	1	3	3	3	1	1	True	True	True
372.0	2.0	62.0	80	8	G	1.0	6	4	1.0	1.0	1/4	True	1	22.0	34.0	20.0	20a	5	186	False	False				False	111	V	G	ii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	ii	ii, major	V		ii	ii	True	V	V, minor		V, minor		V	1	3	3	7	5	5	True	False	False
