onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
40.0	4.0	10.0	59	5	B	0.0	3	4	2.0	1.0	1/4	True	1	4.0	4.0	4.0	4a	3	10	False	True				False	5		V65/IV	G	I		V65/IV	V		65		IV	Mm7	False	False	(4, 1, -2, 0)	()	0	4	major	major	I	I, major	V/IV	IV	IV/I	IV	False	V65/IV	V65/IV, major		V65/IV, major	IV	IV	1	1	0	4	4	5	True	False	True
40.0	2.0	10.0	77	-1	F	0.0	3	4	1.0	1.0	1/8	True	1	4.0	4.0	4.0	4a	5	10	False	True				False	5		V65/IV	G	I		V65/IV	V		65		IV	Mm7	False	False	(4, 1, -2, 0)	()	0	4	major	major	I	I, major	V/IV	IV	IV/I	IV	False	V65/IV	V65/IV, major		V65/IV, major	IV	IV	1	1	0	-2	-2	-1	True	False	False
42.0	2.0	10.5	76	4	E	0.0	3	4	1.0	1.0	1/8	True	1	4.0	4.0	4.0	4a	5	21/2	False	False				False	5		V65/IV	G	I		V65/IV	V		65		IV	Mm7	False	False	(4, 1, -2, 0)	()	0	4	major	major	I	I, major	V/IV	IV	IV/I	IV	False	V65/IV	V65/IV, major		V65/IV, major	IV	IV	1	1	0	3	3	4	False	False	False
44.0	4.0	11.0	57	3	A	0.0	3	4	2.0	1.0	1/4	True	1	4.0	4.0	4.0	4a	3	11	False	True				False	6		V43	G	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	1	1	1	2	2	2	True	False	True
44.0	2.0	11.0	74	2	D	0.0	3	4	1.0	1.0	1/8	True	1	4.0	4.0	4.0	4a	5	11	False	True				False	6		V43	G	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	1	1	1	1	1	1	True	True	False
46.0	2.0	11.5	72	0	C	0.0	3	4	1.0	1.0	1/8	True	1	4.0	4.0	4.0	4a	5	23/2	False	False				False	6		V43	G	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	1	1	1	-1	-1	-1	True	False	False
48.0	8.0	12.0	55	1	G	0.0	3	4	2.0	1.0	1/2	True	1	5.0	5.0	5.0	5a	3	12	False	True	IAC	IAC		False	7		I|IAC	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
48.0	6.0	12.0	71	5	B	0.0	3	4	1.0	1.0	3/8	True	1	5.0	5.0	5.0	5a	4	12	False	True	IAC	IAC		False	7		I|IAC	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	4	4	4	True	False	False
54.0	2.0	13.5	69	3	A	0.0	3	4	1.0	1.0	1/8	True	1	5.0	5.0	5.0	5a	4	27/2	False	False				False	7		I|IAC	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	2	2	2	False	False	False
56.0	4.0	14.0	43	1	G	0.0	3	4	2.0	1.0	1/4	True	1	5.0	5.0	5.0	5a	2	14	False	False			}	True	8		}	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	0	0	0	True	True	True
56.0	4.0	14.0	67	1	G	0.0	3	4	1.0	1.0	1/4	True	1	5.0	5.0	5.0	5a	4	14	False	False			}	True	8		}	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	0	0	0	True	True	True
60.0	8.0	15.0	55	1	G	0.0	3	4	2.0	1.0	1/2	True	1	6.0	6.0	6.0	6a	3	15	False	False			{	False	9		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	0	0	0	True	True	True
60.0	2.0	15.0	74	2	D	0.0	3	4	1.0	1.0	1/8	True	1	6.0	6.0	6.0	6a	5	15	False	False			{	False	9		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	1	1	1	True	False	False
62.0	2.0	15.5	72	0	C	0.0	3	4	1.0	1.0	1/8	True	1	6.0	6.0	6.0	6a	5	31/2	False	False				False	9		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	-1	-1	-1	False	False	False
64.0	2.0	16.0	74	2	D	0.0	3	4	1.0	1.0	1/8	True	1	6.0	6.0	6.0	6a	5	16	False	False				False	9		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	1	1	1	True	False	False
66.0	2.0	16.5	76	4	E	0.0	3	4	1.0	1.0	1/8	True	1	6.0	6.0	6.0	6a	5	33/2	False	False				False	9		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	3	3	3	False	False	False
68.0	4.0	17.0	54	6	F	1.0	3	4	2.0	1.0	1/4	True	1	6.0	6.0	6.0	6a	3	17	False	False				False	9		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	5	5	5	False	False	False
68.0	2.0	17.0	78	6	F	1.0	3	4	1.0	1.0	1/8	True	1	6.0	6.0	6.0	6a	5	17	False	False				False	9		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	5	5	5	False	False	False
70.0	2.0	17.5	74	2	D	0.0	3	4	1.0	1.0	1/8	True	1	6.0	6.0	6.0	6a	5	35/2	False	False				False	9		{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False		, major		I, major		I	1	1	1	1	1	1	True	False	False
72.0	2.0	18.0	52	4	E	0.0	3	4	2.0	1.0	1/8	True	1	7.0	7.0	7.0	7a	3	18	False	True				False	10		vi	G	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	1	1	1	3	3	3	True	True	True
72.0	12.0	18.0	79	1	G	0.0	3	4	1.0	1.0	3/4	True	1	7.0	7.0	7.0	7a	5	18	False	True				False	10		vi	G	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	1	1	1	0	0	0	True	False	False
74.0	2.0	18.5	50	2	D	0.0	3	4	2.0	1.0	1/8	True	1	7.0	7.0	7.0	7a	3	37/2	False	False				False	10		vi	G	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	1	1	1	1	1	1	False	False	False
76.0	2.0	19.0	52	4	E	0.0	3	4	2.0	1.0	1/8	True	1	7.0	7.0	7.0	7a	3	19	False	False				False	10		vi	G	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	1	1	1	3	3	3	True	True	True
78.0	2.0	19.5	54	6	F	1.0	3	4	2.0	1.0	1/8	True	1	7.0	7.0	7.0	7a	3	39/2	False	False				False	10		vi	G	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	1	1	1	5	5	5	False	False	False
80.0	2.0	20.0	55	1	G	0.0	3	4	2.0	1.0	1/8	True	1	7.0	7.0	7.0	7a	3	20	False	False				False	10		vi	G	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	1	1	1	0	0	0	True	False	False
82.0	2.0	20.5	52	4	E	0.0	3	4	2.0	1.0	1/8	True	1	7.0	7.0	7.0	7a	3	41/2	False	False				False	10		vi	G	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	1	1	1	3	3	3	True	True	True
84.0	8.0	21.0	57	3	A	0.0	3	4	2.0	1.0	1/2	True	1	8.0	8.0	8.0	8a	3	21	False	True				False	11		V.V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	2	1	1	True	True	True
84.0	2.0	21.0	76	4	E	0.0	3	4	1.0	1.0	1/8	True	1	8.0	8.0	8.0	8a	5	21	False	True				False	11		V.V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	3	2	2	True	False	False
86.0	2.0	21.5	74	2	D	0.0	3	4	1.0	1.0	1/8	True	1	8.0	8.0	8.0	8a	5	43/2	False	False				False	11		V.V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	1	0	0	False	False	False
88.0	2.0	22.0	76	4	E	0.0	3	4	1.0	1.0	1/8	True	1	8.0	8.0	8.0	8a	5	22	False	False				False	11		V.V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	3	2	2	True	False	False
90.0	2.0	22.5	78	6	F	1.0	3	4	1.0	1.0	1/8	True	1	8.0	8.0	8.0	8a	5	45/2	False	False				False	11		V.V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	5	4	4	False	False	False
92.0	4.0	23.0	55	1	G	0.0	3	4	2.0	1.0	1/4	True	1	8.0	8.0	8.0	8a	3	23	False	False				False	11		V.V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	0	-1	-1	False	False	False
92.0	2.0	23.0	79	1	G	0.0	3	4	1.0	1.0	1/8	True	1	8.0	8.0	8.0	8a	5	23	False	False				False	11		V.V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	0	-1	-1	False	False	False
94.0	2.0	23.5	76	4	E	0.0	3	4	1.0	1.0	1/8	True	1	8.0	8.0	8.0	8a	5	47/2	False	False				False	11		V.V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	3	2	2	True	False	False
96.0	2.0	24.0	54	6	F	1.0	3	4	2.0	1.0	1/8	True	1	9.0	9.0	9.0	9a	3	24	False	True				False	12		I6	G	V		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	V	V, major	I		V	V	False	I6	I6, major		I6, major		I	1	2	2	5	4	4	True	False	True
96.0	6.0	24.0	81	3	A	0.0	3	4	1.0	1.0	3/8	True	1	9.0	9.0	9.0	9a	5	24	False	True				False	12		I6	G	V		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	V	V, major	I		V	V	False	I6	I6, major		I6, major		I	1	2	2	2	1	1	True	False	False
98.0	2.0	24.5	52	4	E	0.0	3	4	2.0	1.0	1/8	True	1	9.0	9.0	9.0	9a	3	49/2	False	False				False	12		I6	G	V		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	V	V, major	I		V	V	False	I6	I6, major		I6, major		I	1	2	2	3	2	2	False	False	False
100.0	4.0	25.0	50	2	D	0.0	3	4	2.0	1.0	1/4	True	1	9.0	9.0	9.0	9a	3	25	False	True				False	13		I	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	1	0	0	True	True	True
102.0	2.0	25.5	81	3	A	0.0	3	4	1.0	1.0	1/8	True	1	9.0	9.0	9.0	9a	5	51/2	False	False				False	13		I	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	2	1	1	True	False	False
104.0	4.0	26.0	55	1	G	0.0	3	4	2.0	1.0	1/4	True	1	9.0	9.0	9.0	9a	3	26	False	True				False	14		IV	G	V		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	V	V, major	IV		V	V	False	IV	IV, major		IV, major		IV	1	2	2	0	-1	-1	True	True	True
104.0	2.0	26.0	83	5	B	0.0	3	4	1.0	1.0	1/8	True	1	9.0	9.0	9.0	9a	5	26	False	True				False	14		IV	G	V		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	V	V, major	IV		V	V	False	IV	IV, major		IV, major		IV	1	2	2	4	3	3	True	False	False
106.0	2.0	26.5	81	3	A	0.0	3	4	1.0	1.0	1/8	True	1	9.0	9.0	9.0	9a	5	53/2	False	False				False	14		IV	G	V		IV	IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	V	V, major	IV		V	V	False	IV	IV, major		IV, major		IV	1	2	2	2	1	1	False	False	False
108.0	4.0	27.0	52	4	E	0.0	3	4	2.0	1.0	1/4	True	1	10.0	10.0	10.0	10a	3	27	False	True				False	15		ii7	G	V		ii7	ii		7			mm7	False	False	(2, -1, 3, 0)	()	2	2	major	major	V	V, major	ii		V	V	False	ii7	ii7, major		ii7, major		ii	1	2	2	3	2	2	True	True	True
108.0	2.0	27.0	79	1	G	0.0	3	4	1.0	1.0	1/8	True	1	10.0	10.0	10.0	10a	5	27	False	True				False	15		ii7	G	V		ii7	ii		7			mm7	False	False	(2, -1, 3, 0)	()	2	2	major	major	V	V, major	ii		V	V	False	ii7	ii7, major		ii7, major		ii	1	2	2	0	-1	-1	True	False	False
110.0	2.0	27.5	78	6	F	1.0	3	4	1.0	1.0	1/8	True	1	10.0	10.0	10.0	10a	5	55/2	False	False				False	15		ii7	G	V		ii7	ii		7			mm7	False	False	(2, -1, 3, 0)	()	2	2	major	major	V	V, major	ii		V	V	False	ii7	ii7, major		ii7, major		ii	1	2	2	5	4	4	False	False	False
112.0	4.0	28.0	57	3	A	0.0	3	4	2.0	1.0	1/4	True	1	10.0	10.0	10.0	10a	3	28	False	True				False	16		V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	2	1	1	True	True	True
112.0	6.0	28.0	76	4	E	0.0	3	4	1.0	1.0	3/8	True	1	10.0	10.0	10.0	10a	5	28	False	True				False	16		V	G	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	1	2	2	3	2	2	True	False	False
116.0	4.0	29.0	45	3	A	0.0	3	4	2.0	1.0	1/4	True	1	10.0	10.0	10.0	10a	2	29	False	True				False	17		V7	G	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	1	2	2	2	1	1	True	True	True
118.0	2.0	29.5	74	2	D	0.0	3	4	1.0	1.0	1/8	True	1	10.0	10.0	10.0	10a	5	59/2	False	False				False	17		V7	G	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	1	2	2	1	0	0	False	False	False
120.0	2.0	30.0	50	2	D	0.0	3	4	2.0	1.0	1/8	True	1	11.0	11.0	11.0	11a	3	30	False	False	PAC	PAC	}	True	18	1	I|PAC}	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	1	0	0	True	True	True
120.0	12.0	30.0	74	2	D	0.0	3	4	1.0	1.0	3/4	True	1	11.0	11.0	11.0	11a	5	30	False	False	PAC	PAC	}	True	18	1	I|PAC}	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	1	0	0	True	True	True
122.0	2.0	30.5	48	0	C	0.0	3	4	2.0	1.0	1/8	True	1	11.0	11.0	11.0	11a	3	61/2	False	False				False	18	1	I|PAC}	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	-1	-2	-2	False	False	False
124.0	2.0	31.0	50	2	D	0.0	3	4	2.0	1.0	1/8	True	1	11.0	11.0	11.0	11a	3	31	False	False				False	18	1	I|PAC}	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	1	0	0	True	True	True
126.0	2.0	31.5	52	4	E	0.0	3	4	2.0	1.0	1/8	True	1	11.0	11.0	11.0	11a	3	63/2	False	False				False	18	1	I|PAC}	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	3	2	2	False	False	False
128.0	2.0	32.0	54	6	F	1.0	3	4	2.0	1.0	1/8	True	1	11.0	11.0	11.0	11a	3	32	False	False				False	18	1	I|PAC}	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	5	4	4	True	False	False
130.0	2.0	32.5	50	2	D	0.0	3	4	2.0	1.0	1/8	True	1	11.0	11.0	11.0	11a	3	65/2	False	False				False	18	1	I|PAC}	G	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	1	2	2	1	0	0	True	True	True
132.0	12.0	33.0	43	1	G	0.0	3	4	2.0	1.0	3/4	True	1	1.0	12.0	1.0	1b	2	33	True	True			{	False	19		G.I{	G	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	1	1	1	0	0	0	True	True	True
