onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
26	2	69	3	A	0	4	2	1	1	True	3.5	0	2	2	2	2a	13	1/4	False	4	False				False	7	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
28	4	72	0	C	0	4	2	1	1	True	4.0	0	2	2	2	2a	14	1/2	False	5	False				False	7	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	-2	-2	-2	True	False	False
30	2	52	4	E	0	4	2	2	2	True	4.5	0	2	2	2	2a	15	1/4	False	3	False				False	7	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	2	2	2	True	False	False
32	4	54	6	F	1	4	2	2	2	True	1.0	0	3	3	3	3a	16	1/2	False	3	True				False	8	V65/IV		d	i		V65/IV	V		65		IV	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/IV	IV	IV/i	IV	False	V65/IV	V65/IV, minor		V65/IV, minor	IV	IV	2	2	1	4	4	5	True	False	True
32	8	62	2	D	0	4	2	2	1	True	1.0	0	3	3	3	3a	16	1	False	4	True				False	8	V65/IV		d	i		V65/IV	V		65		IV	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/IV	IV	IV/i	IV	False	V65/IV	V65/IV, minor		V65/IV, minor	IV	IV	2	2	1	0	0	1	True	True	False
32	2	72	0	C	0	4	2	1	1	False	1.0	0	3	3	3	3a	16	1/4	False	5	True				False	8	V65/IV		d	i		V65/IV	V		65		IV	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/IV	IV	IV/i	IV	False	V65/IV	V65/IV, minor		V65/IV, minor	IV	IV	2	2	1	-2	-2	-1	True	False	False
34	1	71	5	B	0	4	2	1	1	True	1.5	0	3	3	3	3a	17	1/8	False	4	False				False	8	V65/IV		d	i		V65/IV	V		65		IV	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/IV	IV	IV/i	IV	False	V65/IV	V65/IV, minor		V65/IV, minor	IV	IV	2	2	1	3	3	4	False	False	False
35	1	69	3	A	0	4	2	1	1	True	1.75	0	3	3	3	3a	35/2	1/8	False	4	False				False	8	V65/IV		d	i		V65/IV	V		65		IV	Mm7	True	True	(4, 1, -2, 0)	()	0	4	minor	minor	i	i, minor	V/IV	IV	IV/i	IV	False	V65/IV	V65/IV, minor		V65/IV, minor	IV	IV	2	2	1	1	1	2	True	False	False
36	4	55	1	G	0	4	2	2	2	True	2.0	0	3	3	3	3a	18	1/2	False	3	True				False	9	IV		d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	2	2	2	-1	-1	-1	True	True	True
36	2	71	5	B	0	4	2	1	1	True	2.0	0	3	3	3	3a	18	1/4	False	4	True				False	9	IV		d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	2	2	2	3	3	3	True	False	False
