onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
256	8	58	-2	B	-1	4	4	2	1	True	1.0	-1	17	17	17	17a	64	1/2	False	3	True				False	50	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
256	4	62	2	D	0	4	4	1	2	True	1.0	-1	17	17	17	17a	64	1/4	False	4	True				False	50	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
256	16	74	2	D	0	4	4	1	1	True	1.0	-1	17	17	17	17a	64	1	False	5	True				False	50	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
258	2	55	1	G	0	4	4	2	2	True	1.5	-1	17	17	17	17a	129/2	1/8	False	3	False				False	50	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
260	2	55	1	G	0	4	4	2	2	True	2.0	-1	17	17	17	17a	65	1/8	False	3	False				False	50	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
260	4	62	2	D	0	4	4	1	2	True	2.0	-1	17	17	17	17a	65	1/4	False	4	False				False	50	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
262	2	55	1	G	0	4	4	2	2	True	2.5	-1	17	17	17	17a	131/2	1/8	False	3	False				False	50	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
264	3	53	-1	F	0	4	4	2	2	True	3.0	-1	17	17	17	17a	66	3/16	False	3	True				False	51	v6		g	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	1	1	1	-2	-2	-2	True	False	True
264	8	57	3	A	0	4	4	2	1	True	3.0	-1	17	17	17	17a	66	1/2	False	3	True				False	51	v6		g	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	1	1	1	2	2	2	True	False	False
264	4	69	3	A	0	4	4	1	2	True	3.0	-1	17	17	17	17a	66	1/4	False	4	True				False	51	v6		g	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	1	1	1	2	2	2	True	False	False
267	1	52	4	E	0	4	4	2	2	True	3.75	-1	17	17	17	17a	267/4	1/16	False	3	False				False	51	v6		g	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	1	1	1	3	3	3	False	False	False
268	2	50	2	D	0	4	4	2	2	True	4.0	-1	17	17	17	17a	67	1/8	False	3	True				False	52	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	1	1	1	True	True	True
268	2	69	3	A	0	4	4	1	2	True	4.0	-1	17	17	17	17a	67	1/8	False	4	True				False	52	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	2	2	2	True	False	False
270	2	53	-1	F	0	4	4	2	2	True	4.5	-1	17	17	17	17a	135/2	1/8	False	3	False				False	52	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	-2	-2	-2	True	False	False
270	2	69	3	A	0	4	4	1	2	True	4.5	-1	17	17	17	17a	135/2	1/8	False	4	False				False	52	v		g	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	1	1	1	2	2	2	True	False	False
272	2	55	1	G	0	4	4	2	2	True	1.0	-1	18	18	18	18a	68	1/8	False	3	True				False	53	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
272	6	70	-2	B	-1	4	4	1	2	True	1.0	-1	18	18	18	18a	68	3/8	False	4	True				False	53	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
272	12	74	2	D	0	4	4	1	1	True	1.0	-1	18	18	18	18a	68	3/4	False	5	True				False	53	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
274	2	57	3	A	0	4	4	2	2	True	1.5	-1	18	18	18	18a	137/2	1/8	False	3	False				False	53	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	2	2	2	False	False	False
